SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-20-2017,Townhouse,1615 21st St NW,Washington,DC,20009,1670000,5,3.5,WASHINGTON,2608,1047,1910,533,640,,Sold,,,http://www.redfin.com/DC/Washington/1615-21st-St-NW-20009/home/9056049,BRIGHT MLS,1000187703,N,Y,38.9120264,-77.0463495
PAST SALE,,Townhouse,2209 Massachusetts Ave NW,Washington,DC,20008,4202500,8,7.0,,5920,2500,1911,,710,,,,,http://www.redfin.com/DC/Washington/2209-Massachusetts-Ave-NW-20008/home/21648563,,,N,Y,38.9121011,-77.0492785
PAST SALE,May-4-2018,Condo/Co-op,1330 New Hampshire Ave NW #1023,Washington,DC,20036,330000,0,1.0,WASHINGTON,504,,1963,337,655,445,Sold,,,http://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/unit-1023/home/145855248,BRIGHT MLS,1000335848,N,Y,38.9083086,-77.0451575
PAST SALE,August-8-2018,Condo/Co-op,3 Washington Cir NW #703,Washington,DC,20037,427500,1,1.5,WASHINGTON,1036,,1909,241,413,933,Sold,,,http://www.redfin.com/DC/Washington/3-Washington-Cir-NW-20037/unit-703/home/9048510,BRIGHT MLS,1001986840,N,Y,38.9028297,-77.0508464
PAST SALE,March-2-2018,Condo/Co-op,2425 L St NW #229,WASHINGTON,DC,20037,840000,1,1.5,WASHINGTON,1058,,2006,400,794,865,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-000229/home/11745771,BRIGHT MLS,1000123054,N,Y,38.904343,-77.0523268
PAST SALE,,Condo/Co-op,3 Washington Cir NW Apt 903,Washington,DC,20037,404000,1,1.5,,908,,1909,,445,,,,,http://www.redfin.com/DC/Washington/3-Washington-Cir-NW-20037/unit-903/home/9048558,,,N,Y,38.9028297,-77.0508464
PAST SALE,August-16-2018,Condo/Co-op,1111 23rd St NW Unit 3C,Washington,DC,20037,1325000,2,2.5,WASHINGTON,1813,,2000,233,731,2592,Sold,,,http://www.redfin.com/DC/Washington/1111-23rd-St-NW-20037/unit-3C/home/112997584,BRIGHT MLS,1000333298,N,Y,38.9045083,-77.0490526
PAST SALE,April-5-2018,Condo/Co-op,2425 L St NW #908,Washington,DC,20037,1200000,2,2.0,WASHINGTON,1550,,2006,366,774,1232,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-000908/home/11745823,BRIGHT MLS,1004444191,N,Y,38.904343,-77.0523268
PAST SALE,August-17-2018,Condo/Co-op,1415 21st St NW Ph 2A,Washington,DC,20036,895000,2,2.5,WASHINGTON,1349,,1910,232,663,478,Sold,,,http://www.redfin.com/DC/Washington/1415-21st-St-NW-20036/unit-2A/home/146959396,BRIGHT MLS,1001795086,N,Y,38.9092016,-77.0464935
PAST SALE,February-27-2018,Condo/Co-op,2501 M St NW #207,Washington,DC,20037,1108000,2,2.0,WASHINGTON,1175,,2017,403,943,735,Sold,,,http://www.redfin.com/DC/Washington/2501-M-St-NW-20037/unit-207/home/113709385,BRIGHT MLS,1000186503,N,Y,38.905507,-77.0537929
PAST SALE,June-1-2018,Condo/Co-op,1511 22nd St NW #44,Washington,DC,20037,376500,1,1.0,WASHINGTON,623,,1917,309,604,314,Sold,,,http://www.redfin.com/DC/Washington/1511-22nd-St-NW-20037/unit-44/home/9051129,BRIGHT MLS,1000870140,N,Y,38.9099846,-77.0486137
PAST SALE,,Condo/Co-op,2425 L St NW Apt 628,Washington,DC,20037,800000,1,1.0,,922,,2006,,868,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-628/home/22676747,,,N,Y,38.9041571,-77.0523302
PAST SALE,May-11-2018,Condo/Co-op,1321 21st St NW #5,Washington,DC,20036,890000,2,2.5,WASHINGTON,1120,,1921,330,795,286,Sold,,,http://www.redfin.com/DC/Washington/1321-21st-St-NW-20036/unit-5/home/81803205,BRIGHT MLS,1000371944,N,Y,38.907914,-77.0462579
PAST SALE,May-7-2018,Condo/Co-op,2555 Pennsylvania Ave NW #401,Washington,DC,20037,1200000,2,2.0,WASHINGTON,1590,,1978,334,755,1120,Sold,,,http://www.redfin.com/DC/Washington/2555-Pennsylvania-Ave-NW-20037/unit-401/home/145857892,BRIGHT MLS,1000361676,N,Y,38.9046895,-77.0540178
PAST SALE,August-7-2018,Condo/Co-op,2500 Q St NW #526,Washington,DC,20007,360000,1,1.0,WASHINGTON,868,,1942,242,415,780,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-526/home/9928898,BRIGHT MLS,1000468398,N,Y,38.9104655,-77.0524133
PAST SALE,July-12-2018,Condo/Co-op,2501 M St NW #501,Washington,DC,20037,1850000,2,2.5,WASHINGTON,1649,,2017,268,1122,1057,Sold,,,http://www.redfin.com/DC/Washington/2501-M-St-NW-20037/unit-501/home/144408972,BRIGHT MLS,1004256741,N,Y,38.9055094,-77.053806
PAST SALE,April-12-2018,Condo/Co-op,1111 24th St NW #103,Washington,DC,20037,4369745,3,3.0,WASHINGTON,2919,,2016,359,1497,3074,Sold,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-103/home/110088876,BRIGHT MLS,1000186309,N,Y,38.9041312,-77.0511178
PAST SALE,May-15-2018,Condo/Co-op,3 Washington Cir NW #504,Washington,DC,20037,457500,2,1.5,WASHINGTON,1020,,1909,326,449,828,Sold,,,http://www.redfin.com/DC/Washington/3-Washington-Cir-NW-20037/unit-504/home/145853417,BRIGHT MLS,1000197406,N,Y,38.903287,-77.0504648
PAST SALE,July-11-2018,Condo/Co-op,2114 N St NW #16,Washington,DC,20037,370000,1,1.0,WASHINGTON,545,,1926,269,679,358,Sold,,,http://www.redfin.com/DC/Washington/2114-N-St-NW-20037/unit-16/home/146959583,BRIGHT MLS,1001187924,N,Y,38.9070595,-77.0474406
PAST SALE,August-21-2018,Condo/Co-op,2301 N St NW #117,Washington,DC,20037,790000,2,2.0,WASHINGTON,1164,,1991,228,679,1105,Sold,,,http://www.redfin.com/DC/Washington/2301-N-St-NW-20037/unit-117/home/146130431,BRIGHT MLS,1001957442,N,Y,38.9074908,-77.0507346
PAST SALE,May-29-2018,Townhouse,1415 21st St NW Unit B,Washington,DC,20036,455000,1,1.0,WASHINGTON,824,,1910,312,552,301,Sold,,,http://www.redfin.com/DC/Washington/1415-21st-St-NW-20036/unit-B/home/9056391,BRIGHT MLS,1000407520,N,Y,38.9092016,-77.0464935
PAST SALE,January-16-2018,Condo/Co-op,1111 24th St NW #84,Washington,DC,20037,2120000,2,2.0,WASHINGTON,1723,,2016,445,1230,1849,Sold,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-84/home/144712919,BRIGHT MLS,1004472925,N,Y,38.9041312,-77.0511178
PAST SALE,November-9-2017,Condo/Co-op,1111 24th St NW #54,Washington,DC,20037,1284900,3,3.0,WASHINGTON,1183,,2017,513,1086,1241,Sold,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-54/home/144414892,BRIGHT MLS,1004372421,N,Y,38.9041312,-77.0511178
PAST SALE,June-21-2018,Condo/Co-op,2500 Q St NW #132,Washington,DC,20007,418000,1,1.0,WASHINGTON,1067,,1942,289,392,789,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-132/home/9928984,BRIGHT MLS,1000293702,N,Y,38.9104655,-77.0524133
PAST SALE,May-9-2018,Condo/Co-op,1111 25th St NW #509,Washington,DC,20037,545000,1,1.0,WASHINGTON,800,,2005,332,681,559,Sold,,,http://www.redfin.com/DC/Washington/1111-25th-St-NW-20037/unit-509/home/10346510,BRIGHT MLS,1004554311,N,Y,38.9045599,-77.0531137
PAST SALE,June-4-2018,Condo/Co-op,1332 21st St NW #101,Washington,DC,20036,350000,1,1.0,WASHINGTON,519,,1921,306,674,261,Sold,,,http://www.redfin.com/DC/Washington/1332-21st-St-NW-20036/unit-101/home/10175558,BRIGHT MLS,1000386762,N,Y,38.9080007,-77.0467979
PAST SALE,June-29-2018,Condo/Co-op,2500 Q St NW #644,Washington,DC,20007,399999,1,1.0,WASHINGTON,809,,1942,281,494,800,Sold,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-644/home/9929177,BRIGHT MLS,1000339980,N,Y,38.9104655,-77.0524133
PAST SALE,,Condo/Co-op,2023 O St NW,Washington,DC,20036,1500000,9,4.0,,2438,1596,1900,,615,,,,,http://www.redfin.com/DC/Washington/2023-O-St-NW-20036/home/9056136,,,N,Y,38.9087533,-77.0460796
PAST SALE,,Townhouse,2109 N St NW,Washington,DC,20037,1410000,3,4.0,,1544,1473,1914,,913,,,,,http://www.redfin.com/DC/Washington/2109-N-St-NW-20037/home/9051647,,,N,Y,38.9074189,-77.0473277
PAST SALE,June-3-2018,Condo/Co-op,1001 26th St NW #506,Washington,DC,20037,505000,2,1.0,Foggy Bottom,808,,1978,307,625,500,Sold,,,http://www.redfin.com/DC/Washington/1001-26th-St-NW-20037/home/9040839,MRIS,DC10206942,N,Y,38.9029371,-77.0545216
PAST SALE,,Condo/Co-op,2555 Pennsylvania Ave NW Apt 708,Washington,DC,20037,565000,1,1.5,,944,,1978,,599,,,,,http://www.redfin.com/DC/Washington/2555-Pennsylvania-Ave-NW-20037/unit-708/home/9040096,,,N,Y,38.9041102,-77.0542479
PAST SALE,June-25-2018,Condo/Co-op,1111 23rd St NW Unit 4F,Washington,DC,20037,2595000,2,2.5,WASHINGTON,2680,,2000,285,968,4080,Sold,,,http://www.redfin.com/DC/Washington/1111-23rd-St-NW-20037/unit-4F/home/146164947,BRIGHT MLS,1001975550,N,Y,38.9045083,-77.0490526
PAST SALE,,Condo/Co-op,2425 L St NW Apt 528,Washington,DC,20037,737500,2,1.0,,900,,2006,,819,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-528/home/22676157,,,N,Y,38.9041571,-77.0523302
PAST SALE,,Condo/Co-op,2425 L St NW Apt 114,Washington,DC,20037,1275000,2,2.0,,1400,,2006,,911,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-114/home/22653224,,,N,Y,38.9041571,-77.0523302
PAST SALE,July-12-2018,Condo/Co-op,1140 23rd St NW #301,Washington,DC,20037,379000,1,1.0,WASHINGTON,673,,1981,268,563,549,Sold,,,http://www.redfin.com/DC/Washington/1140-23rd-St-NW-20037/unit-301/home/146959350,BRIGHT MLS,1000458336,N,Y,38.9046514,-77.0504648
PAST SALE,,Condo/Co-op,1111 24th St NW,Washington,DC,20037,3375000,3,3.0,,2477,,2017,,1363,,,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/home/145074914,,,N,Y,38.9041312,-77.0511178
PAST SALE,May-17-2018,Condo/Co-op,1111 24th St NW Ph 106,Washington,DC,20037,3375000,3,3.0,WASHINGTON,2477,,2018,324,1363,2649,Sold,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-106/home/146166736,BRIGHT MLS,1000232866,N,Y,38.9041312,-77.0511178
PAST SALE,,Condo/Co-op,1111 24th St NW Unit 42,Washington,DC,20037,1610000,3,3.5,,1515,,2017,,1063,,,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-42/home/144360743,,,N,Y,38.9041312,-77.0511178
PAST SALE,,Condo/Co-op,1111 24th St NW Unit 35,Washington,DC,20037,1885000,2,2.0,,1723,,2017,,1094,,,,,http://www.redfin.com/DC/Washington/1111-24th-St-NW-20037/unit-35/home/144329963,,,N,Y,38.9041312,-77.0511178
